Training begins…
Epoch 01 | step 6650 | lr 3.00e-04 | train loss 1.1447
Epoch 01 | step 6700 | lr 3.00e-04 | train loss 1.1481
Epoch 01 | step 6750 | lr 3.00e-04 | train loss 1.1500
Epoch 01 | step 6800 | lr 3.00e-04 | train loss 1.1491
Epoch 01 | step 6850 | lr 3.00e-04 | train loss 1.1551
Epoch 01 | step 6900 | lr 3.00e-04 | train loss 1.1517
Epoch 01 | step 6950 | lr 3.00e-04 | train loss 1.1576
Epoch 01 | step 7000 | lr 3.00e-04 | train loss 1.1473
Epoch 01 | step 7050 | lr 3.00e-04 | train loss 1.1493
Epoch 01 | step 7100 | lr 3.00e-04 | train loss 1.1445
Epoch 01 | step 7150 | lr 3.00e-04 | train loss 1.1487
Epoch 01 | step 7200 | lr 3.00e-04 | train loss 1.1478
Epoch 01 | step 7250 | lr 3.00e-04 | train loss 1.1502
Epoch 01 | step 7300 | lr 3.00e-04 | train loss 1.1540
Epoch 01 | step 7350 | lr 3.00e-04 | train loss 1.1459
Epoch 01 | step 7400 | lr 3.00e-04 | train loss 1.1394
Epoch 01 | step 7450 | lr 3.00e-04 | train loss 1.1423
Epoch 01 | step 7500 | lr 3.00e-04 | train loss 1.1439
Epoch 01 | step 7550 | lr 3.00e-04 | train loss 1.1429
Epoch 01 | step 7600 | lr 3.00e-04 | train loss 1.1475
Epoch 01 | step 7650 | lr 3.00e-04 | train loss 1.1403
Epoch 01 | step 7700 | lr 3.00e-04 | train loss 1.1451
Epoch 01 | step 7750 | lr 3.00e-04 | train loss 1.1398
Epoch 01 | step 7800 | lr 3.00e-04 | train loss 1.1410
Epoch 01 | step 7850 | lr 3.00e-04 | train loss 1.1488
Epoch 01 | step 7900 | lr 3.00e-04 | train loss 1.1403
Epoch 01 | step 7950 | lr 3.00e-04 | train loss 1.1418
Epoch 01 | step 8000 | lr 3.00e-04 | train loss 1.1433
Epoch 01 | step 8050 | lr 3.00e-04 | train loss 1.1437
Epoch 01 | step 8100 | lr 3.00e-04 | train loss 1.1461
Epoch 01 | step 8150 | lr 3.00e-04 | train loss 1.1423
Epoch 01 | step 8200 | lr 3.00e-04 | train loss 1.1327
Epoch 01 | step 8250 | lr 3.00e-04 | train loss 1.1424
Epoch 01 | step 8300 | lr 3.00e-04 | train loss 1.1490
Epoch 01 | step 8350 | lr 3.00e-04 | train loss 1.1361
Epoch 01 | step 8400 | lr 3.00e-04 | train loss 1.1434
Epoch 01 | step 8450 | lr 3.00e-04 | train loss 1.1383
Epoch 01 | step 8500 | lr 3.00e-04 | train loss 1.1446
Epoch 01 | step 8550 | lr 3.00e-04 | train loss 1.1402
Epoch 01 | step 8600 | lr 3.00e-04 | train loss 1.1413
Epoch 01 | step 8650 | lr 3.00e-04 | train loss 1.1377
Epoch 01 | step 8700 | lr 3.00e-04 | train loss 1.1472
Epoch 01 | step 8750 | lr 3.00e-04 | train loss 1.1397
Epoch 01 | step 8800 | lr 3.00e-04 | train loss 1.1340
Epoch 01 | step 8850 | lr 3.00e-04 | train loss 1.1396
Epoch 01 | step 8900 | lr 3.00e-04 | train loss 1.1407
Epoch 01 | step 8950 | lr 3.00e-04 | train loss 1.1357
Epoch 01 | step 9000 | lr 3.00e-04 | train loss 1.1373
Epoch 01 | step 9050 | lr 3.00e-04 | train loss 1.1444
Epoch 01 | step 9100 | lr 3.00e-04 | train loss 1.1377
Epoch 01 | step 9150 | lr 3.00e-04 | train loss 1.1329
Epoch 01 | step 9200 | lr 3.00e-04 | train loss 1.1335
Epoch 01 | step 9250 | lr 3.00e-04 | train loss 1.1397
Epoch 01 | step 9300 | lr 3.00e-04 | train loss 1.1371
Epoch 01 | step 9350 | lr 3.00e-04 | train loss 1.1408
Epoch 01 | step 9400 | lr 3.00e-04 | train loss 1.1354
Epoch 01 | step 9450 | lr 3.00e-04 | train loss 1.1343
Epoch 01 | step 9500 | lr 3.00e-04 | train loss 1.1362
Epoch 01 | step 9550 | lr 3.00e-04 | train loss 1.1351
Epoch 01 | step 9600 | lr 3.00e-04 | train loss 1.1391
Epoch 01 | step 9650 | lr 3.00e-04 | train loss 1.1375
Epoch 01 | step 9700 | lr 3.00e-04 | train loss 1.1401
Epoch 01 | step 9750 | lr 3.00e-04 | train loss 1.1407
Epoch 01 | step 9800 | lr 3.00e-04 | train loss 1.1402
Epoch 01 | step 9850 | lr 3.00e-04 | train loss 1.1329
Epoch 01 | step 9900 | lr 3.00e-04 | train loss 1.1310
Epoch 01 | step 9950 | lr 3.00e-04 | train loss 1.1273
Epoch 01 | step 10000 | lr 3.00e-04 | train loss 1.1295
Epoch 01 | step 10050 | lr 3.00e-04 | train loss 1.1331
Epoch 01 | step 10100 | lr 3.00e-04 | train loss 1.1336
Epoch 01 | step 10150 | lr 3.00e-04 | train loss 1.1327
Epoch 01 | step 10200 | lr 3.00e-04 | train loss 1.1291
Epoch 01 | step 10250 | lr 3.00e-04 | train loss 1.1362
Epoch 01 | step 10300 | lr 3.00e-04 | train loss 1.1301
Epoch 01 | step 10350 | lr 3.00e-04 | train loss 1.1354
Epoch 01 | step 10400 | lr 3.00e-04 | train loss 1.1305
Epoch 01 | step 10450 | lr 3.00e-04 | train loss 1.1287
Epoch 01 | step 10500 | lr 3.00e-04 | train loss 1.1371
Epoch 01 | step 10550 | lr 3.00e-04 | train loss 1.1355
Epoch 01 | step 10600 | lr 3.00e-04 | train loss 1.1302
Epoch 01 | step 10650 | lr 3.00e-04 | train loss 1.1301
Epoch 01 | step 10700 | lr 3.00e-04 | train loss 1.1341
Epoch 01 | step 10750 | lr 3.00e-04 | train loss 1.1315
Epoch 01 | step 10800 | lr 3.00e-04 | train loss 1.1265
Epoch 01 | step 10850 | lr 3.00e-04 | train loss 1.1329
Epoch 01 | step 10900 | lr 3.00e-04 | train loss 1.1320
Epoch 01 | step 10950 | lr 3.00e-04 | train loss 1.1298
Epoch 01 | step 11000 | lr 3.00e-04 | train loss 1.1308
Epoch 01 | step 11050 | lr 3.00e-04 | train loss 1.1320
Epoch 01 | step 11100 | lr 3.00e-04 | train loss 1.1324
Epoch 01 | step 11150 | lr 2.99e-04 | train loss 1.1320
Epoch 01 | step 11200 | lr 2.99e-04 | train loss 1.1272
Epoch 01 | step 11250 | lr 2.99e-04 | train loss 1.1325
Epoch 01 | step 11300 | lr 2.99e-04 | train loss 1.1264
Epoch 01 | step 11350 | lr 2.99e-04 | train loss 1.1311
Epoch 01 | step 11400 | lr 2.99e-04 | train loss 1.1319
Epoch 01 | step 11450 | lr 2.99e-04 | train loss 1.1371
Epoch 01 | step 11500 | lr 2.99e-04 | train loss 1.1284
Epoch 01 | step 11550 | lr 2.99e-04 | train loss 1.1313
Epoch 01 | step 11600 | lr 2.99e-04 | train loss 1.1263
Epoch 01 | step 11650 | lr 2.99e-04 | train loss 1.1342
Epoch 01 | step 11700 | lr 2.99e-04 | train loss 1.1346
Epoch 01 | step 11750 | lr 2.99e-04 | train loss 1.1335
Epoch 01 | step 11800 | lr 2.99e-04 | train loss 1.1309
Epoch 01 | step 11850 | lr 2.99e-04 | train loss 1.1317
Epoch 01 | step 11900 | lr 2.99e-04 | train loss 1.1326
Epoch 01 | step 11950 | lr 2.99e-04 | train loss 1.1305
Epoch 01 | step 12000 | lr 2.99e-04 | train loss 1.1316
Epoch 01 | step 12050 | lr 2.99e-04 | train loss 1.1263
Epoch 01 | step 12100 | lr 2.99e-04 | train loss 1.1310
Epoch 01 | step 12150 | lr 2.99e-04 | train loss 1.1269
Epoch 01 | step 12200 | lr 2.99e-04 | train loss 1.1303
Epoch 01 | step 12250 | lr 2.99e-04 | train loss 1.1308
Epoch 01 | step 12300 | lr 2.99e-04 | train loss 1.1338
Epoch 01 | step 12350 | lr 2.99e-04 | train loss 1.1309
Epoch 01 | step 12400 | lr 2.99e-04 | train loss 1.1283
Epoch 01 | step 12450 | lr 2.99e-04 | train loss 1.1265
Epoch 01 | step 12500 | lr 2.99e-04 | train loss 1.1230
Epoch 01 | step 12550 | lr 2.99e-04 | train loss 1.1280
Epoch 01 | step 12600 | lr 2.99e-04 | train loss 1.1290
Epoch 01 | step 12650 | lr 2.99e-04 | train loss 1.1262
Epoch 01 | step 12700 | lr 2.99e-04 | train loss 1.1282
Epoch 01 | step 12750 | lr 2.99e-04 | train loss 1.1276
Epoch 01 | step 12800 | lr 2.99e-04 | train loss 1.1246
Epoch 01 | step 12850 | lr 2.99e-04 | train loss 1.1259
Epoch 01 | step 12900 | lr 2.99e-04 | train loss 1.1276
Epoch 01 | step 12950 | lr 2.99e-04 | train loss 1.1226
Epoch 01 done in 790.4s | val loss 1.1117
Epoch 02 | step 0050 | lr 2.99e-04 | train loss 1.1267
Epoch 02 | step 0100 | lr 2.99e-04 | train loss 1.1276
Epoch 02 | step 0150 | lr 2.99e-04 | train loss 1.1255
Epoch 02 | step 0200 | lr 2.99e-04 | train loss 1.1274
Epoch 02 | step 0250 | lr 2.99e-04 | train loss 1.1194
Epoch 02 | step 0300 | lr 2.99e-04 | train loss 1.1261
Epoch 02 | step 0350 | lr 2.99e-04 | train loss 1.1243
Epoch 02 | step 0400 | lr 2.99e-04 | train loss 1.1244
Epoch 02 | step 0450 | lr 2.99e-04 | train loss 1.1289
Epoch 02 | step 0500 | lr 2.99e-04 | train loss 1.1267
Epoch 02 | step 0550 | lr 2.99e-04 | train loss 1.1224
Epoch 02 | step 0600 | lr 2.99e-04 | train loss 1.1251
Epoch 02 | step 0650 | lr 2.99e-04 | train loss 1.1218
Epoch 02 | step 0700 | lr 2.99e-04 | train loss 1.1231
Epoch 02 | step 0750 | lr 2.99e-04 | train loss 1.1259
Epoch 02 | step 0800 | lr 2.99e-04 | train loss 1.1256
Epoch 02 | step 0850 | lr 2.99e-04 | train loss 1.1216
Epoch 02 | step 0900 | lr 2.99e-04 | train loss 1.1268
Epoch 02 | step 0950 | lr 2.99e-04 | train loss 1.1250
Epoch 02 | step 1000 | lr 2.99e-04 | train loss 1.1221
Epoch 02 | step 1050 | lr 2.99e-04 | train loss 1.1258
Epoch 02 | step 1100 | lr 2.99e-04 | train loss 1.1213
Epoch 02 | step 1150 | lr 2.99e-04 | train loss 1.1203
Epoch 02 | step 1200 | lr 2.99e-04 | train loss 1.1263
Epoch 02 | step 1250 | lr 2.99e-04 | train loss 1.1244
Epoch 02 | step 1300 | lr 2.99e-04 | train loss 1.1239
Epoch 02 | step 1350 | lr 2.99e-04 | train loss 1.1234
Epoch 02 | step 1400 | lr 2.99e-04 | train loss 1.1269
Epoch 02 | step 1450 | lr 2.99e-04 | train loss 1.1238
Epoch 02 | step 1500 | lr 2.99e-04 | train loss 1.1234
Epoch 02 | step 1550 | lr 2.99e-04 | train loss 1.1246
Epoch 02 | step 1600 | lr 2.99e-04 | train loss 1.1204
Epoch 02 | step 1650 | lr 2.99e-04 | train loss 1.1197
Epoch 02 | step 1700 | lr 2.99e-04 | train loss 1.1186
Epoch 02 | step 1750 | lr 2.99e-04 | train loss 1.1241
Epoch 02 | step 1800 | lr 2.99e-04 | train loss 1.1229
Epoch 02 | step 1850 | lr 2.99e-04 | train loss 1.1177
Epoch 02 | step 1900 | lr 2.99e-04 | train loss 1.1213
Epoch 02 | step 1950 | lr 2.99e-04 | train loss 1.1167
Epoch 02 | step 2000 | lr 2.99e-04 | train loss 1.1240
Epoch 02 | step 2050 | lr 2.99e-04 | train loss 1.1223
Epoch 02 | step 2100 | lr 2.99e-04 | train loss 1.1224
Epoch 02 | step 2150 | lr 2.99e-04 | train loss 1.1178
Epoch 02 | step 2200 | lr 2.99e-04 | train loss 1.1213
Epoch 02 | step 2250 | lr 2.99e-04 | train loss 1.1214
